"d_phi_p [deg]","fc [GHz]","Time [us]","re(SP(i1)) [mV]","re(SP(i2)) [mV]","re(SP(i3)) [mV]","re(SP(i4)) [mV]","re(SP(q1)) [mV]","re(SP(q2)) [mV]","re(SP(q3)) [mV]","re(SP(q4)) [mV]"
48,2.432,128,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
48,2.432,136,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
49,2.432,0,62.602105951372,60.9976697740558,61.2107364311849,62.7701563664052,-41.73437668444,-19.8152187914295,-17.5798356353714,-39.3722322934575
49,2.432,8,62.603738940768,60.9999275195574,61.2131998360465,62.7719583188086,-41.7342417935213,-19.813207429275,-17.577787142409,-39.3721055088707
49,2.432,16,62.6048979102574,61.001529234484,61.2149472074863,62.7732370601412,-41.7341473651933,-19.8117824660117,-17.5763357184254,-39.3720167262894
49,2.432,24,62.6060604228363,61.0031352986269,61.2166991201505,62.7745195901145,-41.7340537349817,-19.8103552638238,-17.5748818847296,-39.371928669688
49,2.432,32,62.6077105194905,61.0054140436159,61.2191844515676,62.7763398353758,-41.733922697696,-19.8083330914742,-17.5728217569496,-39.3718053904298
49,2.432,40,62.6117234998448,61.0109513006835,61.2252220045891,62.7807656040098,-41.7336130987332,-19.8034329250698,-17.5678285342287,-39.3715139120127
49,2.432,48,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
49,2.432,56,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
49,2.432,64,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
49,2.432,72,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
49,2.432,80,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
49,2.432,88,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
49,2.432,96,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
49,2.432,104,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
49,2.432,112,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
49,2.432,120,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
49,2.432,128,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
49,2.432,136,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
50,2.432,0,62.602105951372,60.9976697740558,61.2107364311849,62.7701563664052,-41.73437668444,-19.8152187914295,-17.5798356353714,-39.3722322934575
50,2.432,8,62.603738940768,60.9999275195574,61.2131998360465,62.7719583188086,-41.7342417935213,-19.813207429275,-17.577787142409,-39.3721055088707
50,2.432,16,62.6048979102574,61.001529234484,61.2149472074863,62.7732370601412,-41.7341473651933,-19.8117824660117,-17.5763357184254,-39.3720167262894
50,2.432,24,62.6060604228363,61.0031352986269,61.2166991201505,62.7745195901145,-41.7340537349817,-19.8103552638238,-17.5748818847296,-39.371928669688
50,2.432,32,62.6077105194905,61.0054140436159,61.2191844515676,62.7763398353758,-41.733922697696,-19.8083330914742,-17.5728217569496,-39.3718053904298
50,2.432,40,62.6117234998448,61.0109513006835,61.2252220045891,62.7807656040098,-41.7336130987332,-19.8034329250698,-17.5678285342287,-39.3715139120127
50,2.432,48,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
50,2.432,56,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
50,2.432,64,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
50,2.432,72,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
50,2.432,80,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
50,2.432,88,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
50,2.432,96,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
50,2.432,104,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
50,2.432,112,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
50,2.432,120,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
50,2.432,128,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
50,2.432,136,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
51,2.432,0,62.602105951372,60.9976697740558,61.2107364311849,62.7701563664052,-41.73437668444,-19.8152187914295,-17.5798356353714,-39.3722322934575
51,2.432,8,62.603738940768,60.9999275195574,61.2131998360465,62.7719583188086,-41.7342417935213,-19.813207429275,-17.577787142409,-39.3721055088707
51,2.432,16,62.6048979102574,61.001529234484,61.2149472074863,62.7732370601412,-41.7341473651933,-19.8117824660117,-17.5763357184254,-39.3720167262894
51,2.432,24,62.6060604228363,61.0031352986269,61.2166991201505,62.7745195901145,-41.7340537349817,-19.8103552638238,-17.5748818847296,-39.371928669688
51,2.432,32,62.6077105194905,61.0054140436159,61.2191844515676,62.7763398353758,-41.733922697696,-19.8083330914742,-17.5728217569496,-39.3718053904298
51,2.432,40,62.6117234998448,61.0109513006835,61.2252220045891,62.7807656040098,-41.7336130987332,-19.8034329250698,-17.5678285342287,-39.3715139120127
51,2.432,48,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
51,2.432,56,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
51,2.432,64,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
51,2.432,72,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
51,2.432,80,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
51,2.432,88,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
51,2.432,96,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
51,2.432,104,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
51,2.432,112,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
51,2.432,120,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
51,2.432,128,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
51,2.432,136,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
52,2.432,0,62.602105951372,60.9976697740558,61.2107364311849,62.7701563664052,-41.73437668444,-19.8152187914295,-17.5798356353714,-39.3722322934575
52,2.432,8,62.603738940768,60.9999275195574,61.2131998360465,62.7719583188086,-41.7342417935213,-19.813207429275,-17.577787142409,-39.3721055088707
52,2.432,16,62.6048979102574,61.001529234484,61.2149472074863,62.7732370601412,-41.7341473651933,-19.8117824660117,-17.5763357184254,-39.3720167262894
52,2.432,24,62.6060604228363,61.0031352986269,61.2166991201505,62.7745195901145,-41.7340537349817,-19.8103552638238,-17.5748818847296,-39.371928669688
52,2.432,32,62.6077105194905,61.0054140436159,61.2191844515676,62.7763398353758,-41.733922697696,-19.8083330914742,-17.5728217569496,-39.3718053904298
52,2.432,40,62.6117234998448,61.0109513006835,61.2252220045891,62.7807656040098,-41.7336130987332,-19.8034329250698,-17.5678285342287,-39.3715139120127
52,2.432,48,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
52,2.432,56,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
52,2.432,64,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
52,2.432,72,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
52,2.432,80,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
52,2.432,88,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
52,2.432,96,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
52,2.432,104,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
52,2.432,112,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
52,2.432,120,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
52,2.432,128,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
52,2.432,136,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
53,2.432,0,62.602105951372,60.9976697740558,61.2107364311849,62.7701563664052,-41.73437668444,-19.8152187914295,-17.5798356353714,-39.3722322934575
53,2.432,8,62.603738940768,60.9999275195574,61.2131998360465,62.7719583188086,-41.7342417935213,-19.813207429275,-17.577787142409,-39.3721055088707
53,2.432,16,62.6048979102574,61.001529234484,61.2149472074863,62.7732370601412,-41.7341473651933,-19.8117824660117,-17.5763357184254,-39.3720167262894
53,2.432,24,62.6060604228363,61.0031352986269,61.2166991201505,62.7745195901145,-41.7340537349817,-19.8103552638238,-17.5748818847296,-39.371928669688
53,2.432,32,62.6077105194905,61.0054140436159,61.2191844515676,62.7763398353758,-41.733922697696,-19.8083330914742,-17.5728217569496,-39.3718053904298
53,2.432,40,62.6117234998448,61.0109513006835,61.2252220045891,62.7807656040098,-41.7336130987332,-19.8034329250698,-17.5678285342287,-39.3715139120127
53,2.432,48,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
53,2.432,56,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
53,2.432,64,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
53,2.432,72,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
53,2.432,80,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
53,2.432,88,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
53,2.432,96,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
53,2.432,104,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
53,2.432,112,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
53,2.432,120,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
53,2.432,128,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
53,2.432,136,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
54,2.432,0,62.602105951372,60.9976697740558,61.2107364311849,62.7701563664052,-41.73437668444,-19.8152187914295,-17.5798356353714,-39.3722322934575
54,2.432,8,62.603738940768,60.9999275195574,61.2131998360465,62.7719583188086,-41.7342417935213,-19.813207429275,-17.577787142409,-39.3721055088707
54,2.432,16,62.6048979102574,61.001529234484,61.2149472074863,62.7732370601412,-41.7341473651933,-19.8117824660117,-17.5763357184254,-39.3720167262894
54,2.432,24,62.6060604228363,61.0031352986269,61.2166991201505,62.7745195901145,-41.7340537349817,-19.8103552638238,-17.5748818847296,-39.371928669688
54,2.432,32,62.6077105194905,61.0054140436159,61.2191844515676,62.7763398353758,-41.733922697696,-19.8083330914742,-17.5728217569496,-39.3718053904298
54,2.432,40,62.6117234998448,61.0109513006835,61.2252220045891,62.7807656040098,-41.7336130987332,-19.8034329250698,-17.5678285342287,-39.3715139120127
54,2.432,48,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
54,2.432,56,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
54,2.432,64,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
54,2.432,72,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
54,2.432,80,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
54,2.432,88,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
54,2.432,96,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
54,2.432,104,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
54,2.432,112,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
54,2.432,120,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
54,2.432,128,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
54,2.432,136,61.9091849403535,60.1081022665392,60.2617838140437,62.018904319495,-41.6757817591596,-20.4400779903985,-18.2305276237106,-39.320714896565
55,2.432,0,62.602105951372,60.9976697740558,61.2107364311849,62.7701563664052,-41.73437668444,-19.8152187914295,-17.5798356353714,-39.3722322934575
55,2.432,8,62.603738940768,60.9999275195574,61.2131998360465,62.7719583188086,-41.7342417935213,-19.813207429275,-17.577787142409,-39.3721055088707
